Title,Artist,Tags
All Star,SmashMouth,"Pop, Rock, 90s"
My Hero,Foo Fighters,"Rock, 90s"
Down Under,Men At Work,"Aussie, 80s"
Janie Jones,The Clash,"Rock, 70s"
Rockin the Suburbs,Ben Folds,"Rock, 2000s"
Jack and Diane,John Mellencamp,"Rock, 80s"
Hurricane,Cannons,"Pop, 2020s"
What A Man,Linda Lyndell,"Soul, Stax, 60s, 90s"
California Gurls,Katy Perry,"Pop, 2000s"
If You Go Down (I'm Going Down Too),Kelsea Ballerini,"Country, 2020s"
You're Still The One,Shania Twain,"Country, 90s"
Never Gonna Be Alone,"Lizzy McApine, Jacob Collier",2020s
Pure Imagination,Gene Wilder,Showtunes
Ain't No Mountain High Enough,"Marvin Gaye; Tammy Terrell",60s
A Thousand Miles,Vanessa Carlton,90s
