Title,Artist,Tags,Cover
Frozenheart,Disney,,https://i.scdn.co/image/ab67616d0000b2734b1899123e484c034e31164e
Ghostbusters,Ray Parker Jr,"Halloween, 80s",https://i.scdn.co/image/ab67616d0000b273aed4808eac27b70ba532f0e4
Gimme Gimme Gimme,ABBA,70s,https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec
Gimme Some Lovin',Spencer Davis Group,,https://i.scdn.co/image/ab67616d0000b273dbe342cb676e4630b72ef182
Girls Just Wannahave Fun,Cindy Lauper,"Pop, 80s",https://i.scdn.co/image/ab67616d00001e0252f532df7ba3269b0242fed9
"Give Me Your Fire, Give Me Your Rain",The Paper Kites,Aussie,https://i.scdn.co/image/ab67616d0000b273086e117e8804dcffb54affdb
Go Tell It On the Mountain,Christmas,,https://i.scdn.co/image/ab67616d0000b2738a5ecd30c86e91ad5d09c0ea
Go Your Own Way,Fleetwood Mac,,https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7
God Only Knows,The Beach Boys,,https://i.scdn.co/image/ab67616d0000b273bde8dfd1922129f3d9e3732f
Good 4 U,Olivia Rodrigo,Bangers,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
Good Ashell,Lizzo,Pop,https://i.scdn.co/image/ab67616d0000b273bf7d271b8f3051af3cf0bf55
Good Love Is On The Way,John Mayer,,https://i.scdn.co/image/ab67616d0000b2735b9c332f9f76cabc137e400f
Good Riddance (Time of Your Life),Green Day,,https://i.scdn.co/image/ab67616d0000b273da4f6706ae0f2501c61ce776
Good Vibrations,The Beach Boys,,https://i.scdn.co/image/ab67616d0000b273fb9dac3244b8486758058a81
Goodbye Earl,The Chicks,Country,https://i.scdn.co/image/ab67616d0000b27309874a0209b4bc9c0b3a0a01
Got To Get You Into My Life,The Beatles,,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a
Got To Give It Up,Marvin Gaye,Soul,https://i.scdn.co/image/ab67616d0000b273b7d69f48b104003377bf6984
Gotta Serve Somebody,Bob Dylan,,https://i.scdn.co/image/ab67616d0000b273e969b7bfe58c8fe5019310b1
Graceland,Paul Simon,,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8
Gravity,John Mayer,,https://i.scdn.co/image/ab67616d0000b2737af5fdc5ef048a68db62b85f
Great Balls of Fire,Jerry Lee Lewis,,https://i.scdn.co/image/ab67616d0000b27395788c15edfdca94ad6fa6ab
Grow As We Go,Ben Platt,,https://i.scdn.co/image/ab67616d0000b273f77cc81c4679525b9f6b4447
Guns and Ships,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540
Hakuna Matata,Disney (The Lion King),Duet,https://i.scdn.co/image/ab67616d0000b273506648dfeff34bdfe9a8a83f
Half of the Way,Ryan Lerman,2000s,https://i.scdn.co/image/ab67616d0000b273a306a5712d0c2ec001f35f38
Hallelujah I Just Loveher So,Ray Charles,Soul,https://i.scdn.co/image/ab67616d0000b2733f96debd4ff2d990d1e8ea8f
Hammer and Nail,Indigo Girls,90s,https://i.scdn.co/image/ab67616d0000b273a9ac0521e0b38851c51d29c5
Hand in my Pocket,Alanis Morissette,90s,https://i.scdn.co/image/ab67616d0000b273242e643ea07118ecf677a6ef
Hands Down,Dashboard Confessional,,https://i.scdn.co/image/ab67616d0000b273d1ac70bdf06763bc8df967e1
Happy,Pharrell,,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba
Happy Together,The Turtles,,https://i.scdn.co/image/ab67616d0000b27372649ad8e79d1e8bdd54c929
